VENDOR PART#,MANUFACTURER PART #,DESCRIPTION,MSRP,CONTRACT_PRICE,QUANTITY ON HAND,MANUFACTURER_NAME,CATEGORY,SERIAL_FLAG,WEIGHT
HHP-MK952037A47,MK9520-37A47,VOYAGER 9520 BLACK KBW  KIT,110.97,70.8,210,Honeywell Scanning & Mobi,HHS,Y,1.764
HHP-MK952037C41,MK9520-37C41,VOYAGER 9520 BLACK SER  KIT,110.97,70.8,57,Honeywell Scanning & Mobi,HHS,Y,1.896
HHP-MK952077A38,MK9520-77A38,VOYAGER 9520 LGHT GREY USB  KIT,110.97,70.8,0,Honeywell Scanning & Mobi,HHS,Y,1.587
HHP-MK952077A47,MK9520-77A47,VOYAGER 9520 LGHT GREY KBW  KIT,110.97,70.8,33,Honeywell Scanning & Mobi,HHS,Y,1.72
HHP-MK952077C41,MK9520-77C41,VOYAGER 9520 LGHT GREY SER  KIT,110.97,70.8,17,Honeywell Scanning & Mobi,HHS,Y,1.896
HHP-MK954037A38,MK9540-37A38,VOYAGER-CG 9540 BLACK USB KIT,110.97,70.8,685,Honeywell Scanning & Mobi,HHS,Y,1.587
HHP-MK954037A47,MK9540-37A47,VOYAGER-CG 9540 BLACK KBW KIT,110.97,70.8,22,Honeywell Scanning & Mobi,HHS,Y,1.764
HHP-MK954037C41,MK9540-37C41,VOYAGER-CG 9540 BLACK SER KIT,110.97,70.8,36,Honeywell Scanning & Mobi,HHS,Y,1.896
HHP-MK954077A38,MK9540-77A38,VOYAGER-CG 9540 GRAY USB KIT,110.97,70.8,0,Honeywell Scanning & Mobi,HHS,Y,1.631
HHP-MK954077A47,MK9540-77A47,C VOYAGER-CG 9540 GRAY KBW KIT,110.97,70.8,0,Honeywell Scanning & Mobi,HHS,Y,1.764
HHP-MK954077C41,MK9540-77C41,VOYAGER-CG 9540 GRAY SER KIT,110.97,70.8,5,Honeywell Scanning & Mobi,HHS,Y,1.896
HHP-MK959061C14,MK9590-61C14,VOYAGER-GS 9590 DRK GREY SER KIT w/STND,110.97,70.8,0,Honeywell Scanning & Mobi,HHS,Y,4.012
HHP-MS2321121D,MS2321-121D,C STRATOS  508MM MULTI i/f  DIAM SNCR,1069.92,682.52,0,Honeywell Scanning & Mobi,HHS,Y,39.683
HHP-MS2421105S,MS2421-105S,STRATOS  508MM MULTI i/f  SAPH SNCR,736.16,469.6,0,Honeywell Scanning & Mobi,HHS,Y,18.96
HHP-MS2421105XD,MS2421-105XD,C STRATOS  399MM MULTI i/f  DIAM SNCR,681.94,435.03,0,Honeywell Scanning & Mobi,HHS,Y,18.409
HHP-MS2421105XS,MS2421-105XS,C STRATOS  399MM MULTI i/f  SAPH SNCR,736.16,469.6,0,Honeywell Scanning & Mobi,HHS,Y,17.857
HHP-MS2422105D,MS2422-105D,C STRATOS  353MM MULTI i/f  DIAM SNCR,681.94,435.03,6,Honeywell Scanning & Mobi,HHS,Y,18.298
HHP-MS2422105S,MS2422-105S,C STRATOS  353MM MULTI i/f  SAPH SNCR,736.16,469.6,0,Honeywell Scanning & Mobi,HHS,Y,17.372
HHP-MS358011,MS3580-11,C QUANTUM-T 3580 IBM 46XX RS485 SCNR,174.51,111.32,2,Honeywell Scanning & Mobi,HHS,Y,1.786
HHP-MS358038,MS3580-38,C QUANTUM-T 3580 LW SPD USB SCNR,174.51,111.32,0,Honeywell Scanning & Mobi,HHS,Y,1.83
HHP-MS358041,MS3580-41,C QUANTUM-T 3580 SER SCNR,174.51,111.32,0,Honeywell Scanning & Mobi,HHS,Y,1.852
HHP-MS358047,MS3580-47,C QUANTUM-T 3580 KBW SCNR,174.51,111.32,0,Honeywell Scanning & Mobi,HHS,Y,1.83
HHP-MS378041,MS3780-41,FUSION 3780 DARK GRAY SER SCNR,177.9,113.48,0,Honeywell Scanning & Mobi,HHS,Y,1.764
HHP-MS5145383EU,MS5145-38-3-EU,C ECLIPSE 5145 USB LW SPD BLACK SCNR,55.91,35.67,19,Honeywell Scanning & Mobi,HHS,Y,0.551
HHP-MS514538EU,MS5145-38-EU,C ECLIPSE 5145 USB LW SPD LIGHT GRAY,55.91,35.67,3,Honeywell Scanning & Mobi,HHS,Y,0.529
HHP-MS5145403EU,MS5145-40-3-EU,C ECLIPSE 5145 USB FL SPD BL ACK,55.91,35.67,5,Honeywell Scanning & Mobi,HHS,Y,0.551
HHP-MS514540EU,MS5145-40-EU,C ECLIPSE 5145 USB FL SPD LIGHT GRAY,55.91,35.67,0,Honeywell Scanning & Mobi,HHS,Y,0.551
HHP-MS514541EU,MS5145-41-EU,ECLISPE 5145 LIGHT GRAY SER SCNR,55.91,35.67,2,Honeywell Scanning & Mobi,HHS,Y,0.661
HHP-MS71201063,MS7120-106-3,C ORBIT 7120 RS232/485 USB BLACK SCNR,170.27,108.62,0,Honeywell Scanning & Mobi,HHS,Y,2.271
HHP-MS7120383,MS7120-38-3,ORBIT 7120 LW SPD USB BLACK SCNR,170.27,108.62,0,Honeywell Scanning & Mobi,HHS,Y,2.249
HHP-MS712041,MS7120-41,C ORBIT 7120 SER LIGHT GRAY SCNR,170.27,108.62,3,Honeywell Scanning & Mobi,HHS,Y,2.249
HHP-MS71801063,MS7180-106-3,C ORBIT 7180 FL SPD USB/EAS BLACK,188.91,120.51,0,Honeywell Scanning & Mobi,HHS,Y,2.271
HHP-MS7180383,MS7180-38-3,ORBIT 7180 LW SPD USB BLACK SCNR,188.91,120.51,0,Honeywell Scanning & Mobi,HHS,Y,2.249
HHP-MS7180413,MS7180-41-3,C ORBIT 7180 SER BLACK W/EAS SCNR,188.91,120.51,0,Honeywell Scanning & Mobi,HHS,Y,2.227
HHP-MS785012402EAS,MS7580-124-02-EAS,GENESIS  BLACK EAS SCNR,210.94,134.56,0,Honeywell Scanning & Mobi,HHS,Y,1.918
HHP-MS762537D,MS7625-37D,HORIZON 7625 RS232/KBW/USB SCNR,351.56,224.27,0,Honeywell Scanning & Mobi,HHS,Y,7.3
HHP-MS7820118,MS7820-118,SOLARIS 7820 DARK GRAY SER/TTL SCNR,251.6,160.5,24,Honeywell Scanning & Mobi,HHS,Y,2.425
HHP-MS9520113,MS9520-11-3,C VOYAGER 9520 BLACK IBM RS485 SCNR,89.8,57.28,0,Honeywell Scanning & Mobi,HHS,Y,0.639
HHP-MS952038,MS9520-38,C VOYAGER 9520  GREY USB LW SPD SCNR,89.8,57.28,0,Honeywell Scanning & Mobi,HHS,Y,0.639
HHP-MS9520383,MS9520-38-3,VOYAGER 9520  BLACK USB LW SPD SCNR,89.8,57.28,0,Honeywell Scanning & Mobi,HHS,Y,0.661
HHP-MS952040,MS9520-40,C VOYAGER 9520  GREY USB FLL SPD SCNR,89.8,57.28,4,Honeywell Scanning & Mobi,HHS,Y,0.661
HHP-MS9520403,MS9520-40-3,VOYAGER 9520  BLACK USB FLL SPD SCNR,89.8,57.28,2,Honeywell Scanning & Mobi,HHS,Y,0.639
HHP-MS952041,MS9520-41,VOYAGER 9520 LIGHT GRAY SER SCNR,89.8,57.28,0,Honeywell Scanning & Mobi,HHS,Y,0.661
HHP-MS9520413,MS9520-41-3,VOYAGER 9520 BLACK SER SCNR,89.8,57.28,0,Honeywell Scanning & Mobi,HHS,Y,0.639
HHP-MS952047,MS9520-47,C VOYAGER 9520  GRAY KBW SCNR,89.8,57.28,0,Honeywell Scanning & Mobi,HHS,Y,0.639
HHP-MS9520473,MS9520-47-3,VOYAGER 9520  BLACK KBW SCNR,89.8,57.28,2,Honeywell Scanning & Mobi,HHS,Y,0.639
HHP-MS9540003,MS9540-00-3,C VOYAGER-CG 9540 BLACK LSR SCNR,89.8,57.28,3,Honeywell Scanning & Mobi,HHS,Y,0.661
HHP-MS9540113,MS9540-11-3,VOYAGER-CG 9540 BLACK IBM46XX SCNR,89.8,57.28,0,Honeywell Scanning & Mobi,HHS,Y,0.661
HHP-MS9540383,MS9540-38-3,VOYAGER-CG 9540 BLCK LW SPD USB SCNR,89.8,57.28,2,Honeywell Scanning & Mobi,HHS,Y,0.661
HHP-MS9540413,MS9540-41-3,VOYAGER-CG 9540  BLACK SER SCNR,89.8,57.28,2,Honeywell Scanning & Mobi,HHS,Y,0.661
HHP-MS9590106,MS9590-106,C VOYAGER-GS 9590 DRK SER/USB GREY SCNR,89.8,57.28,0,Honeywell Scanning & Mobi,HHS,Y,0.904
HHP-MVC3MPCIB9,MVC-3MPC-IB9,CBL IBM46XX/9V HST PWR/ 4PSDL/ 3.1M,23.72,15.13,11,Honeywell Scanning & Mobi,HHA,N,0.397
HHP-MVC3MPSIB9,MVC-3MPS-IB9,"C CBL IBM 46XX HST PWR/STRT/2,1M",23.72,15.13,2,Honeywell Scanning & Mobi,HHA,N,0.287
LXE-MX3002DSKCRDL,MX3002DSKCRDL,CRDL DSKTOP SER ACTSYNC SUPP,206.7,131.86,1,Honeywell Scanning & Mobi,HHA,Y,1.94
LXE-MX3069CABLE,MX3069CABLE,C CBL USB CLIENT D9F TO USB TYPE A,37.27,23.78,0,Honeywell Scanning & Mobi,HHA,N,0.176
LXE-MX3401CASE,MX3401CASE,CASE W/ SHOULDER STRAP MX3,74.55,47.55,0,Honeywell Scanning & Mobi,HHA,N,0.86
LXE-MX3A378BATT,MX3A378BATT,BTRY LI-ON MX3,78.78,50.25,0,Honeywell Scanning & Mobi,HHA,N,0.441
LXE-MX7003DSKCRDL,MX7003DSKCRDL,CRDL DSKTOP SER/USB MX7 US PSU/CBL,211.78,135.1,0,Honeywell Scanning & Mobi,HHA,N,2.425
LXE-MX7004DSKCRDL,MX7004DSKCRDL,CRDL DSKTOP SER/USB MX7/ PSU/noCBL,211.78,135.1,26,Honeywell Scanning & Mobi,HHA,Y,2.006
LXE-MX7007VMCRADLE,MX7007VMCRADLE,CRDL PASSIVE VEHICLE  MX7,193.99,123.76,5,Honeywell Scanning & Mobi,HHA,N,1.631
LXE-MX7008VMCRADLE,MX7008VMCRADLE,CRDL ACTIVE VHCL USB/SER PXR / MX7,440.51,281.02,0,Honeywell Scanning & Mobi,HHA,Y,3.8
LXE-MX7052CABLE,MX7052CABLE,CBL I/F CHRG/COMM USB  MX7,39.82,25.4,26,Honeywell Scanning & Mobi,HHA,N,0.154
LXE-MX7055CABLE,MX7055CABLE,C CBL I/F CHRG/COMM SER  MX7,39.82,25.4,0,Honeywell Scanning & Mobi,HHA,N,0.22
LXE-MX7058CABLE,MX7058CABLE,C CBL SER ADPT 6P PRINTER TECTON/MX 7,39.82,25.4,2,Honeywell Scanning & Mobi,HHA,N,0.11
LXE-MX7060CABLE,MX7060CABLE,C CBL HDSET COIL ADPT QCKDISCONN  MX7,110.97,70.8,0,Honeywell Scanning & Mobi,HHA,N,0.154
LXE-VM1W601RECOV,VM1W601RECOV,RECOVERY DVD WES 2009  ENG THOR,16.1,10.26,0,Honeywell Scanning & Mobi,HHA,N,0.044
LXE-VM2001BRACKET,VM2001BRACKET,VM2 MNTNG ADAPTR PLATE FOR KB USE,21.18,13.51,8,Honeywell Scanning & Mobi,HHA,N,0.551
LXE-VM2011BRKTKIT,VM2011BRKTKIT,VM2 RAM MNT KEYBD KIT ROUNDBASE/SHOR,239.74,152.94,35,Honeywell Scanning & Mobi,HHA,N,6.4
